0017;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;10,6 OHM   4,2A;W91;K9;F2;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0018;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;53 OHM  1,85A;W91;K9;F2;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0019;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;53 OHM   1,85A;W91;K9;F3;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0020;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;53 OHM   1,85A;W91;K9;F3;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0021;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;115 OHM  1,25A;W91;K9;F3;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0022;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;115 OHM  1,25 A;W91;K9;F3;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0024;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;500 OHM  0,61A;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0025;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;500 OHM 0,61A;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0026;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;1320 OHM   0,37A;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0027;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;1850 OHM  0,32A;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0028;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;1850 OHM   0,32A;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0029;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;7070 OHM   0,16A;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0030;Drehwiderstand;Benedikt&Jäger;Drahtwiderstand;;;7070 OHM   0,16A;W91;K9;F5;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA17-30.jpg;;;;;;;;;;
0032;Widerstand;Benedikt&Jäger;SW50/5      5  7A;;540-27/04/80;3;W91;;;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0038;Widerstand;Benedikt&Jäger;ESR 10 / 3,2A;;540-27/02/79;7001;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0039;Widerstand;Benedikt&Jäger;ESR 10 / 3,2A;;540-27/03/79;7000;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0040;Widerstand;Benedikt&Jäger;ESR 47 / 1,5A;;540-27/02/79;6998;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0041;Widerstand;Benedikt&Jäger;ESR 47 / 1,5A;;540-27/02/79;6999;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0042;Widerstand;Benedikt&Jäger;ESR 100 / 1A;;540-27/02/79;6997;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0043;Widerstand;Benedikt&Jäger;ESR 100 / 1A;;540-27/02/79;6996;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0044;Widerstand;Benedikt&Jäger;SW25/5     1200 / 0,4A;;540-27/04/79;191;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0045;Widerstand;Benedikt&Jäger;SW25/5     1200 / 0,4A;;540-27/04/79;191;W91;K9;F1;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0046;Widerstand;Benedikt&Jäger;SW50/5   11500 / 0,2A;;540-27/02/81;191;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0047;Widerstand;Benedikt&Jäger;SW50/5   11500 / 0,2A;;540-27/02/81;191;W91;K9;F4;Widerstand;Messtechniklabor (W91);/intra/woda/data/ela/img/633.jpg;;;;;;;;;;
0051;Widerstand-Feldsteller;Benedikt&Jäger;SW50/5      205/1  4A;;;101;W109;;;Widerstand;E-Maschinenlabor (W109);/intra/woda/data/ela/img/753.jpg;;;;;;;;;;
0052;Widerstand-Feldsteller;Benedikt&Jäger;SW50/5      205/1  4A;;;101;W109;;;Widerstand;E-Maschinenlabor (W109);/intra/woda/data/ela/img/753.jpg;;;;;;;;;;
0053;Steckbrett mit Versorgung;A-TEK;AT-201;;;Brett 18;W91;K13;F3;Steckbrett;Messtechniklabor (W91);/intra/woda/data/ela/img/531.JPG;;;;;;;;;;
0054;Mini-Labor;BWD Instruments PTY LTD;603 B;312000560807;540-23/2000/1/2;39556;W91;K10;F6;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/minilab.jpg;;;;;;;;;;
0055;Mini-Labor;BWD Instruments PTY LTD;603 B;;;39547;W91;K10;F6;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/minilab.jpg;;;;;;;;;;
0057;Drehzahlmesser;Deumo;DEUMO S;;540-03/01/79;129536;W109;K2;F3;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/57.jpg;;;;;;;;;;
0058;Drehzahlmesser;Deumo;DEUMO S;;540-03/02/79;129537;W109;K2;F3;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/0057.jpg;;;;;;;;;;
0064;Millivoltmeter;Farnell;TM2;312000560700;540-15/2000/1;2380;W096;R5;F4;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/TM2.jpg;;;;;;;;;;
0065;Dreiphasensäulenstell-Trafo;HTL;RD20/7 mit Handrad;;510/2000/4;;W109;K9;;Transformator;E-Maschinenlabor (W109);/intra/woda/data/ela/img/65.jpg;;;;;;;;;;
0066;Digitalspeicher-Oszilloskop 4 Kanal;Fluke;PM3382;312000560775;540-22/2000/25/1;DM559011;W91;K3;F6;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00107.jpg;;;;;;;;;;
0067;Digitalspeicher-Oszilloskop 4 Kanal;Fluke;PM3382;312000560776;540-22/2000/25/2;DM559021;W91;K3;F5;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00107.jpg;;;;;;;;;;
0068;Digitalspeicher-Oszilloskop 4 Kanal;Fluke;PM3384;312000560782;540-22/2000/30;DM600002;W91;K3;F4;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/375.jpg;;;;;;;;;;
0069;programmierbar;Fluke;PM 5150;312000560845;540-24/2000/11;LO 627403;W92;K11;F4;Funktionsgenerator;Regeltechniklabor (W92);/intra/woda/data/ela/img/funktgen.jpg;;;;;;;;;;
0070;programmierbar;Fluke;PM 2811;312000560699;540-13/2000/15;DM673001;W92;K11;F5;Netzgerät;Regeltechniklabor (W92);/intra/woda/data/ela/img/pm2811.jpg;;;;;;;;;;
0072;Oszilloskop analog 60Mhz;Fluke;PM 3050;312000560783;540-22/2000/31/1;DM 573001;W91;K3;F1;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00104.jpg;;;;;;;;;;
0073;Oszilloskop analog 60Mhz;Fluke;PM 3050;312000560784;540-22/2000/31/2;DM 573003;W91;K3;F2;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00104.jpg;;;;;;;;;;
0074;Oszilloskop analog 60Mhz;Fluke;PM 3050;312000560797;540-22/2000/31/3;DM 647002;W91;K3;F3;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00104.jpg;;;;;;;;;;
0075;Oszilloskop 4-Kanal;Fluke;PM 3082;;540-22/2000/22/2;DM 552001;W91;K3;F7;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/375.jpg;;;;;;;;;;
0076;Oszilloskop 4-Kanal;Fluke;PM 3082;312000560771;540-22/2000/22/1;DM 552002;W91;K3;F8;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/375.jpg;;;;;;;;;;
0077;Oszilloskop LCD Scopemeter;Fluke;PM97;312000560772;540-22/2000/23;DM5511407;W096;R1;F5;Oszilloskop;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00015.jpg;;;;;;;;;;
0079;Digitalspeicher-Oszilloskop 4 Kanal;LeCroy;WaveSurfer 434;312000561976;540-10/2004/1;LCRY0301J11254;W096;R1;F4;Oszilloskop;ELA-Magazin (W096);/intra/woda/data/ela/img/79.jpg;;;;;;;;;;
0084;Netzgerät  350 V/ 2 A  IEC-Bus;FUG;NLN 700-350 IECII;312000560692;540-13/2000/6;8607223701;W096;R3;F6;Netzgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00130.jpg;;;;;;;;;;
0086;Zangenmultimeter;Roline;RO3020;;540-18/37/92;91700138;W109;K2;F4;Messgerät;E-Maschinenlabor (W109);;;;;;;;;;;
0087;Oberflächentemperaturfühler;Goerz;GE 4831;;540-29/03/79;1;W096;;;Messgerät;ELA-Magazin (W096);;;;;;;;;;;
0088;Oberflächentemperaturfühler;Goerz;GE 4831;;540-29/03/79;2;W096;;;Messgerät;ELA-Magazin (W096);;;;;;;;;;;
0089;Eintauchtemperaturfühler;Goerz;GE 4832;;540-29/03/79;1;W096;;;Messgerät;ELA-Magazin (W096);;;;;;;;;;;
0092;Leistungsmesser;Goerz;524732;312000560704;540-16/2000/1;804786;W109;K2;F1;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/92.jpg;;;;;;;;;;
0096;Multimeter;Goerz;UNIGOR 6E;312000560730;540-17/2000/18/2;779295;W096;R2;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00013.jpg;;;;;;;;;;
0097;Multimeter;Goerz;UNIGOR 6E;312000560727;540-17/2000/10/2;779304;W096;R2;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00013.jpg;;;;;;;;;;
0098;Multimeter;Goerz;UNIGOR 6E;312000560731;540-17/2000/18/3;858765;W096;R2;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00013.jpg;;;;;;;;;;
0099;Multimeter;Goerz;UNIGOR 6EP;312000560729;540-17/2000/18/1;858628;W096;R2;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00013.jpg;;;;;;;;;;
0100;Multimeter;Goerz;UNIGOR 6EP;312000560726;540-17/2000/10/1;858715;W096;R2;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00013.jpg;;;;;;;;;;
0102;Stromwandler Kl. 0;Goerz;GE 4461;;540-29/01/80;W 99498;W109;K3;F2;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/102.jpg;;;;;;;;;;
0103;Stromwandler Kl. 0;Goerz;GE 4461;;540-29/02/80;W 99514;W109;K3;F2;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/102.jpg;;;;;;;;;;
0104;Stromwandler Kl. 0;Goerz;GE 4461;;540-29/03/80;W 99517;W109;K3;F2;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/102.jpg;;;;;;;;;;
0105;Stromwandler Kl. 0;Goerz;GE 4461;;540-29/01/79;98836;W109;K3;F2;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/102.jpg;;;;;;;;;;
0106;Stromwandler Kl. 0;Goerz;GE 4461;;540-29/02/79;98872;W109;K3;F2;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/102.jpg;;;;;;;;;;
0107;Stromwandler Kl. 1;Josef Zelisko;KA03;;540-29/;77/7257701;W109;K3;F3;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/107.jpg;;;;;;;;;;
0108;Stromwandler Kl. 1;Josef Zelisko;KA03;;540-29/;77/7257702;W109;K3;F3;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/107.jpg;;;;;;;;;;
0109;Stromwandler Kl. 1;Josef Zelisko;KA03;;540-29/;77/7257703;W109;K3;F3;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/107.jpg;;;;;;;;;;
0111;Multimeter;Goerz;UNIGOR 1N;;540-18/11/80;G 459064;W109;K2;F6;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0112;Multimeter;Goerz;UNIGOR 1N;;540-18/21/80;G 301961;W109;K2;F6;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0113;Multimeter;Goerz;UNIGOR 1N;;540-18/11/81;G 342596;W109;K2;F6;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0118;Multimeter;Goerz;UNIGOR 1N;;540-18/19/92;21173;W109;K2;F6;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0119;Multimeter;Goerz;UNIGOR 1N;;540-18/08/81;G 47155;W109;K2;F7;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0120;Multimeter;Goerz;UNIGOR 1N;;540-18/13/81;G 378732;W109;K2;F7;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0121;Multimeter;Goerz;UNIGOR 1N;;540-18/15/92;6237;W109;K2;F7;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0122;Multimeter;Goerz;UNIGOR 1N;;540-18/20/92;65156;W109;K2;F7;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/mvc00014.jpg;;;;;;;;;;
0123;Ampelsteuerung;HTL;Relais;;;;W096;;;Übungs-und Laboraufbauten;ELA-Magazin (W096);/intra/woda/data/ela/img/123.jpg;;;;;;;;;;
0124;Multimeter;Goerz;UNIGOR 3N;;540-18/16/78;848018;W91;K5;F1;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0125;Übung EMV1: das mag. Feld;HTL;DI Pösel;;;;W109;K7;;EMV;E-Maschinenlabor (W109);/intra/woda/data/ela/img/125.jpg;;;;;;;;;;
0126;Multimeter;Goerz;UNIGOR 3N;;540-18/04/85;61925;W91;K5;F1;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0127;Multimeter;Goerz;UNIGOR 3N;;540-18/05/85;303429;W91;K5;F2;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0128;Multimeter;Goerz;UNIGOR 3N;;540-18/09/85;30699;W91;K5;F2;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0129;Multimeter;Goerz;UNIGOR 3N;;540-18/10/85;303448;W91;K5;F2;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0130;Multimeter;Goerz;UNIGOR 3N;;540-18/11/85;62489;W91;K5;F2;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0131;Multimeter;Goerz;UNIGOR 3N;;ELA-131;96321;W91;K5;F3;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0132;Multimeter;Goerz;UNIGOR 3N;;540-18/13/85;26842;W91;K5;F3;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0133;Multimeter;Goerz;UNIGOR 3N;;ELA - 133;26712;W91;K5;F3;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0134;Multimeter;Goerz;UNIGOR 3N;;540-18/22/92;22259;W91;K5;F3;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0136;Multimeter;Goerz;UNIGOR 3N;;540-18/13/85;19835;W91;K5;F4;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0137;Multimeter;Goerz;UNIGOR 3N;;540-18/25/92;26819;W91;K5;F4;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0138;Multimeter;Goerz;UNIGOR 3N;;540-18/26/92;22278;W91;K5;F4;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00012.jpg;;;;;;;;;;
0142;Zangenstrommesser;Goerz;FE 251104;;540-18/05/79;918426;W109;K2;F8;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/142.jpg;;;;;;;;;;
0143;Zangenstrommesser;Goerz;FE 251104;;540-18/06/79;1088093;W109;K2;F8;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/142.jpg;;;;;;;;;;
0145;Zangenstrommesser;Norma;6805-01 GA 1 D/E;;540-24/02/92;680501011;W096;R5;F2;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/142.jpg;;;;;;;;;;
0146;Zangenstrommesser;Norma;6805-01 GA 1 D/E;;540-24/02/92;680501011;W096;R5;F2;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/142.jpg;;;;;;;;;;
0147;Zangenstrommesser;Norma;6805-01 GA 1 D/E;;540-24/02/92;680501011;W096;R5;F2;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/142.jpg;;;;;;;;;;
0150;Current Probe Amplifier;Tektronix;TM502A;312000560819;540-23/2000/10;B026712;W096;R1;F5;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/150.jpg;;;;;;;;;;
0151;Netzgerät  32 V/ 1.5 A;Gossen;14 K 32 R 1  5;312000560679;540-13/2000/1/3;468;W91;K4;F1;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/gossen-konstanter.jpg;;;;;;;;;;
0152;Netzgerät  32 V/ 1.5 A;Gossen;15 K 32 R 1  5;312000560681;540-13/2000/1/5;473;W91;K4;F1;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/gossen-konstanter.jpg;;;;;;;;;;
0153;Netzgerät  32 V/ 1.5 A;Gossen;16 K 32 R 1  5;312000560680;540-13/2000/1/4;483;W91;K4;F1;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/gossen-konstanter.jpg;;;;;;;;;;
0154;Netzgerät  32 V/ 1.5 A;Gossen;17 K 32 R 1  5;312000560677;540-13/2000/1/1;512;W91;K4;F1;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/gossen-konstanter.jpg;;;;;;;;;;
0155;Netzgerät  32 V/ 1.5 A;Gossen;18 K 32 R 1  5;312000560678;540-13/2000/1/2;515;W91;K4;F1;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/gossen-konstanter.jpg;;;;;;;;;;
0156;Kurzschlußbügel;HPS;;;;;W92;K7;F2;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0157;IEC BUS Messstellenumschalter;HTL;;;;;W92;K10;F8;automatisierte_Messsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0158;Router;;;;;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0159;Digitalkoffer;HPS;3510;;540-27/2000/4;;W92;K18;F3;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0160;IP-Telefon;Cisco;7912;;;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0161;IP-Telefon;Cisco;7912;312000562529;408-01/2006/18;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0162;Spectrum Analyzer (25kHz);HP;HP 3582 A;312000560883;540-28/2000/2;1809A04803;W096;R1;F3;Audiotechnik;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00112.jpg;;;;;;;;;;
0163;6-Puls Steuergerät;HPS;5211;;540-28/06/80;HPS_42;W92;K3;F5;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00171.jpg;;;;;;;;;;
0165;Analog Trainer;HPS;3210;312000560860;540-27/2000/5;HPS_36;W92;K5;F3;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0169;Kondensatorplatte;HPS;5107;;540-28/02/81;HPS_1;W92;K4;F2;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0170;IP-Telefon;Cisco;7912;;;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0171;IP-Telefon;Cisco;7912;;;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0172;Digi Board;HPS;3505;312000560861;540-27/2000/6;;W92;K8;F9;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0173;IP-Telefon;Cisco;7912;;;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0174;;Datentechnik;NAE 2048-3;;NP 11535;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0175;;Datentechnik;NAE 2048-4;;NP 11536;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0176;Switch;Datentechnik;3300XM 24PT;;0100/1MAV5253C38;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0177;IP-Telefon;Cisco;7912;;;;W92;K12;F2;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0178;Drehzahlmesser;HPS;5510;;540-28/01/79;HPS_21;W92;K4;F5;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0179;Induktivitätsdekade;JJ LOYD;L3;;540-27/4/78;4162;W91;K9;F8;Dekaden;Messtechniklabor (W91);;;;;;;;;;;
0180;Induktivitätsdekade;JJ LOYD;L3;;540-27/5/78;4163;W91;K9;F8;Dekaden;Messtechniklabor (W91);;;;;;;;;;;
0181;Kapazitätsdekade;JJ LOYD;C3;;540-27/2/78;;W91;K9;F8;Dekaden;Messtechniklabor (W91);;;;;;;;;;;
0182;Kapazitätsdekade;JJ LOYD;VC4;;540-27/3/78;G ;W91;K9;F8;Dekaden;Messtechniklabor (W91);;;;;;;;;;;
0183;Elek. Cos-Phi Messer;HPS;8706 HPS;312000560811;540-23/2000/4;;W096;R3;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00133.jpg;;;;;;;;;;
0184;Elek. Cos-Phi Messer;HPS;8706 HPS;;540-24/02/87;;W096;R3;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00133.jpg;;;;;;;;;;
0185;Elek.Leistungsmesser;HPS;8705 HPS;312000560707;540-16/2000/4/1;;W096;R3;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00119.jpg;;;;;;;;;;
0186;Elek.Leistungsmesser;HPS;8705 HPS;312000560708;540-16/2000/4/2;;W096;R3;F1;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00119.jpg;;;;;;;;;;
0187;Gleichrichter;HPS;5503;;540-28/01/79;HPS_11;W92;K4;F3;Lehrsysteme;Regeltechniklabor (W92);/intra/woda/data/ela/img/mvc00181.jpg;;;;;;;;;;
0188;Impulsübertrager;HPS;5241;;540-28/7/80;HPS_26a;W92;K4;F6;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0189;Impulsübertrager;HPS;5241;;540-28/8/80;HPS_26b;W92;K4;F6;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
